"CFR";"loa"
11033;19.7
11034;10.07
11035;11.4
11036;10.5
11037;25.9
11038;14.3
11039;11.2
1104;4.14
11040;8.27
11041;10.56
11042;9.16
11043;22.5
11044;20.45
11045;7.62
11046;18.7
11047;22.31
11048;12.58
11049;13.54
1105;9.01
11050;25.6
11051;10.43
11052;9
11053;10.93
11054;9.27
11055;9.26
11056;25.3
11057;18.8
11058;14.43
11059;10.5
1106;6.62
11060;11.79625
11061;13.97
11062;10.85
11063;10.42
11064;24.52
11065;18.82
11066;17.48
11067;10.5
11068;10.74
11069;15
1107;6.74
11070;10.52
11071;13.7225
11072;24.32
11073;11.05
11074;14.28
11075;20.03
11076;11.8
11077;20.75
11078;11.63
11079;17.2
1108;7.45
11080;10.4
11081;10.97
11082;8.93
11083;8.9
11084;10
11085;9.65
11086;13.65
11087;14.13
11088;14.75
11089;24.41
1109;6.91
11090;20.7
11091;20.83
11092;13.32
11094;10.59
11095;9.18
11096;11.15
11097;12.95
11098;7.78
11099;10.05
111;4.1
1110;5.62
11100;6.16
11101;14.85
11102;10.66
11103;10.4
11104;7.6
11105;10.85
11106;13.12
11107;25.25
11108;21.5
11109;27.05
1111;6.14
11110;8.9
11111;13.05
11112;12.95
11114;6.4
11115;4.65
11116;4
11117;26.31
11118;8.76
11119;8.33
1112;6.1
11120;20.41
11121;24.77
11122;27.12
11123;24.8722222222222
11124;23.9
11126;23.18
11127;25.5
11128;6.3
11129;9.5
1113;4.43
11130;6.83
11131;6.1
11132;18.89
11133;5.65
11134;5.55
11135;11.36
11136;7.04
11137;16.28
11139;25.26
1114;5.38
11140;8.9
11141;4.67
11142;7.3
11143;24.57
11144;10.9
11145;4.68
11146;6.1
11147;7.15
11148;25.36
11149;12.37
1115;6.66
11150;7.13
11151;8.77
11152;9.15
11153;13.6
11154;8.1
11155;6.48
11156;24.17
11157;6.9
11158;5.4
11159;16.9
1116;16.92
11160;7.9
11161;7.9
11162;25
11163;6
11164;13.6
11166;15.41
11167;5.07
11168;6.46
11169;9.11
1117;6.07
11170;8.9
11171;10.78
11172;5.42
11173;4.65
11174;13.1
11175;4.25
11177;6.64
11178;7
11179;26.58
1118;6.22
11180;18.5
11181;7.83
11182;6
11183;6.74
11184;9.26
11185;10.3
11186;9.02
11187;12.28
11188;4
11189;8.7
1119;6.61
11190;11.29
11191;13.4
11192;13.72
11193;15.6
11194;11.75
11195;18.1
11196;8
11197;10.68
11198;9.65
11199;9.7
112;27.4
1120;6.9
11200;5.24
11201;10.66
11202;4.63
11203;10.8
11204;12.32
11206;6.9
11207;11.3
11208;10.52
11209;11.08
1121;8.55
11210;15.21
11211;22.1
11212;14.65
11213;13.8
11214;18.06
11215;8.38
11216;16.05
11217;12.28
11218;5.12
11219;5.4
1122;4.48
11220;6.56
11221;7.4
11224;16
11225;6.77
11228;4.5
11229;7.15
1123;7.22
11230;6.17
11231;6.4
11232;7.05
11233;8.65
11234;5.5
11235;8.8
11236;7
11237;6.85
11239;6.75
1124;7.82
11240;8.1
11241;8.1
11242;6.74
11243;7.2
11244;6.32909090909091
11246;5.98
11247;6.31
11248;3.9
11249;4.64
1125;6.99
11250;6.2
11251;7.2
11252;8.05
11253;7.6
11254;6
11255;32.2
11256;29.44
11257;8.14
11259;5.29
1126;6.9
11260;6.25
11261;6.97545454545455
11262;7.15
11263;7.28
11264;7.54
11265;6.19
11266;4.5
11267;6.9
11268;6.8
11269;6.8
1127;6.72
11270;7.1
11271;8
11272;6.36
11273;4.8
11274;7.24
11275;6.95571428571429
11276;6.18
11278;12.37
11279;15.15
1128;6.72
11280;19.2
11281;5.5
11282;5.28
11283;11.53
11284;5.42
11285;6.8
11286;7.38
11287;4.85
11288;5.38888888888889
11289;19.22
1129;6.25
11290;5.07
11291;5.48
11292;6.33
11293;5.6
11294;7.02
11295;11.62
11296;6.4
11297;7.85
11298;5.96
11299;20
113;29.68
1130;13.77
11300;6.96
11302;22.56
11303;19.7
11304;19.79
11305;18.33
11306;4.9
11307;6.83
11308;7.57
11309;6.96
1131;9.1
11310;6.1
11311;10
11312;6.88
11313;6.41
11314;27.12
11315;27.12
11316;10.05
11317;5.05
11318;7.23
11319;7.43
1132;12.62
11320;16.34
11321;20.22
11322;18.57
11324;5.44
11325;7.35
11326;6.4
11327;24.17
11328;23.38
11329;10.15
1133;13.35
11330;21.35
11331;20.8
11332;6.35
11333;7.93
11334;7.45
11335;5.58
11336;19.8
11337;6.06
11338;6.26
11339;6.05
1134;14.35
11340;6.85
11341;9.23
11342;6.78
11343;6.8
11345;20.25
11346;20.13
11347;17.8
11348;19.8
11349;5.45
1135;17.326
11351;6.96
11352;5.15
11354;7.42
11355;8.18
11356;12.5
11357;5.15
11358;7.26
11359;7.33
1136;8.5
11360;10.22
11361;6.53
11362;5.73
11363;7.38
11364;20.76
11365;6.38
11366;6.86
11367;4.15
11368;5.23
11369;6.92
1137;16.92
11370;7.04
11371;8.52
11372;6.56
11373;6
11374;7.5
11375;5.48
11376;4.5
11377;9.8
11378;7.61
11379;6.87
1138;13.9
11380;4.98
11381;6.83
11382;7.18
11383;5.98
11384;6.25
11385;7.61
11386;8.75
11387;3.81
11388;6.35
11389;6.65857142857143
1139;7.88
11390;5.43
11391;4.45
11392;7.06666666666667
11393;7.66
11394;13.4
11395;5
11396;6.31
11397;7.4
11398;12.3
11399;5
114;27.5
1140;6.27
11400;4.1
11401;8.42
11402;4.3
11403;6.49
11404;9.65
11405;4.64
11406;5.1
11407;10.4
11408;9.59
11409;6.13
1141;7.80714285714286
11410;8.16
11411;11.14
11412;4.45
11413;9.2
11414;6.04
11415;5.5
11416;3.88
11417;4.3
11418;5.1
11419;6.05
1142;13.25
11420;9.05
11421;7.11
11422;5.65
11424;6.5875
11425;4.5
11426;13.02
11427;18.09
11428;7.33
11429;6.5
1143;5.43
11430;6.28
11431;9.36
11432;14.53
11433;20.03
11434;11.88
11435;8.26
11436;6.8
11437;5.55
11438;6.29
11439;9.79
1144;6.77
11440;6.35
11441;6.25
11442;6.4
11443;5.8
11444;9.6
11445;8.07
11446;19.38
11447;21.1
11448;6.1
11449;5.05
1145;4.86
11450;4.28
11451;7.8
11452;8.12
