"MONTH";"Species";"GSA";"Price"
"June";"MUR";"GSA13";7.47164245591408
"June";"MUR";"GSA14";6.73
"June";"MUR";"GSA15";8.37131436694407
"June";"MUR";"GSA16";8.48674545841815
"June";"MUT";"GSA12";5.20133333333333
"June";"MUT";"GSA13";4.19427729286259
"June";"MUT";"GSA14";5.15088316057898
"June";"MUT";"GSA15";4.69632689428753
"June";"MUT";"GSA16";4.46193613090438
"June";"NEP";"GSA12";22.098507094764
"June";"NEP";"GSA13";22.0880285557727
"June";"NEP";"GSA14";24.165160553076
"June";"NEP";"GSA15";21.7782524900964
"June";"NEP";"GSA16";16.9309436997757
"June";"OCC";"GSA12";8.46711700153799
"June";"OCC";"GSA13";7.22572678159291
"June";"OCC";"GSA14";8.095
"June";"OCC";"GSA15";8.14561393619859
"June";"OCC";"GSA16";7.04606073030973
"June";"SQM";"GSA12";3.27710009630261
"June";"SQM";"GSA13";3.2715774125556
"June";"SQM";"GSA15";3.14676553736487
"June";"SQM";"GSA16";3.43267575568425
"July";"ARA";"GSA12";24.5023333333333
"July";"ARA";"GSA13";27.8108928571429
"July";"ARA";"GSA15";24.4096781252964
"July";"ARA";"GSA16";19.9270535221718
"July";"ARS";"GSA12";26.1441296296296
"July";"ARS";"GSA13";25.0126677382033
"July";"ARS";"GSA14";14.51
"July";"ARS";"GSA15";22.0868132171717
"July";"ARS";"GSA16";20.4832620337941
"July";"CTC";"GSA12";10.61875
"July";"CTC";"GSA13";8.60721797951167
"July";"CTC";"GSA14";9.34548499170127
"July";"CTC";"GSA15";10.0449472695623
"July";"CTC";"GSA16";8.81620610316509
"July";"DPS";"GSA12";7.13059942987835
"July";"DPS";"GSA13";6.11769068755851
"July";"DPS";"GSA14";5.98006648747677
"July";"DPS";"GSA15";5.26652366833651
"July";"DPS";"GSA16";5.63698791943465
"July";"EDT";"GSA12";3.94809396338881
"July";"EDT";"GSA13";3.68185428791246
"July";"EDT";"GSA15";3.97057877420893
"July";"EDT";"GSA16";4.12934036352328
"July";"EOI";"GSA12";7.73888888888889
"July";"EOI";"GSA13";3.68
"July";"EOI";"GSA14";4.90373924960803
"July";"EOI";"GSA15";7.28
"July";"EOI";"GSA16";4.18232100427916
"July";"HKE";"GSA12";7.54938349520689
"July";"HKE";"GSA13";5.18619540086726
"July";"HKE";"GSA14";5.58043441111577
"July";"HKE";"GSA15";5.59643529247438
"July";"HKE";"GSA16";6.11258640881869
"July";"HOM";"GSA12";1.64254385964912
"July";"HOM";"GSA13";1.52236534591915
"July";"HOM";"GSA14";2.1
"July";"HOM";"GSA15";2.15838681689157
"July";"HOM";"GSA16";3.02950564968221
"July";"MON";"GSA12";4.46515038693729
"July";"MON";"GSA13";5.02556313947432
"July";"MON";"GSA14";4.38779446239907
"July";"MON";"GSA15";3.78796263386293
"July";"MON";"GSA16";4.25305520974403
"July";"MTS";"GSA14";1.97150957150749
"July";"MTS";"GSA15";2.11918446226689
"July";"MTS";"GSA16";2.12083451201429
"July";"MUR";"GSA12";9.97345090468503
"July";"MUR";"GSA13";7.75280451863811
"July";"MUR";"GSA14";7.84356847603674
"July";"MUR";"GSA15";11.165470848031
"July";"MUR";"GSA16";7.83413903383627
"July";"MUT";"GSA12";5.88371190117963
"July";"MUT";"GSA13";3.88935589538486
"July";"MUT";"GSA14";4.39470980204198
"July";"MUT";"GSA15";5.10616150015374
"July";"MUT";"GSA16";4.60415355252321
"July";"NEP";"GSA12";21.9671339107537
"July";"NEP";"GSA13";22.436910188733
"July";"NEP";"GSA14";18.44
"July";"NEP";"GSA15";21.1282454129293
"July";"NEP";"GSA16";17.6856717108615
"July";"OCC";"GSA12";9.10975211983722
"July";"OCC";"GSA13";7.96199979743721
"July";"OCC";"GSA14";7.4654586985673
"July";"OCC";"GSA15";9.43805948424495
"July";"OCC";"GSA16";8.42477286249232
"July";"SQM";"GSA12";3.1902004671954
"July";"SQM";"GSA13";3.72078565451688
"July";"SQM";"GSA14";2.19020857432775
"July";"SQM";"GSA15";3.22749826442482
"July";"SQM";"GSA16";3.45758370382196
"August";"ARA";"GSA12";23.662252669144
"August";"ARA";"GSA13";26.7828888888889
"August";"ARA";"GSA15";24.8289003733505
"August";"ARA";"GSA16";19.8166349482888
"August";"ARS";"GSA12";24.405439048528
"August";"ARS";"GSA13";26.7901727089759
"August";"ARS";"GSA15";26.6315756744278
"August";"ARS";"GSA16";21.5275544334848
"August";"CTC";"GSA12";10.4512605259451
"August";"CTC";"GSA13";8.35417178226586
"August";"CTC";"GSA15";9.34108833609966
"August";"CTC";"GSA16";9.87537599614868
"August";"DPS";"GSA12";7.18315375982043
"August";"DPS";"GSA13";7.38951197690091
"August";"DPS";"GSA14";3.71
"August";"DPS";"GSA15";5.65856953643359
"August";"DPS";"GSA16";5.71983708358062
"August";"EDT";"GSA13";3.83090827031622
"August";"EDT";"GSA15";4.09423547056772
"August";"EDT";"GSA16";3.7063043576013
"August";"EOI";"GSA13";3.525
"August";"EOI";"GSA15";5.94
"August";"EOI";"GSA16";4.58197813496446
"August";"HKE";"GSA12";7.05510522156114
"August";"HKE";"GSA13";5.60511560637457
"August";"HKE";"GSA15";5.64240630760184
"August";"HKE";"GSA16";6.47669407351748
"August";"HOM";"GSA12";2.29006891786979
"August";"HOM";"GSA13";2.26040197236624
"August";"HOM";"GSA15";2.44719304671271
"August";"HOM";"GSA16";2.43084278616062
"August";"MON";"GSA12";4.31058941416306
"August";"MON";"GSA13";4.16573687919165
"August";"MON";"GSA15";4.12165307045124
"August";"MON";"GSA16";4.08874480319425
"August";"MTS";"GSA15";2.20947165641892
"August";"MTS";"GSA16";2.15224484670526
"August";"MUR";"GSA12";9.29310334109189
"August";"MUR";"GSA13";7.98063543403786
"August";"MUR";"GSA15";9.07505337813764
"August";"MUR";"GSA16";8.41842011065912
"August";"MUT";"GSA12";4.66725884900947
"August";"MUT";"GSA13";4.00870568602949
"August";"MUT";"GSA15";5.23835134360628
"August";"MUT";"GSA16";4.33402619904455
"August";"NEP";"GSA12";15.2476265069083
"August";"NEP";"GSA13";21.4850815194656
"August";"NEP";"GSA14";17.05
"August";"NEP";"GSA15";19.9917370587422
"August";"NEP";"GSA16";16.3261075833725
"August";"OCC";"GSA12";8.68300578954841
"August";"OCC";"GSA13";8.82325355154969
"August";"OCC";"GSA15";10.4074862276184
"August";"OCC";"GSA16";9.6172464794288
"August";"SQM";"GSA12";3.66389549921959
"August";"SQM";"GSA13";3.2527752446245
"August";"SQM";"GSA15";2.7323631639644
"August";"SQM";"GSA16";3.72109549115624
"September";"ARA";"GSA12";24.4441756044782
"September";"ARA";"GSA13";31.4308333333333
"September";"ARA";"GSA15";25.6535194637273
"September";"ARA";"GSA16";22.2007034261117
"September";"ARS";"GSA12";23.0626280371347
"September";"ARS";"GSA13";30.1358039215686
"September";"ARS";"GSA15";26.1008210139549
"September";"ARS";"GSA16";20.4841177413897
"September";"CTC";"GSA12";9.70693940252065
"September";"CTC";"GSA13";8.84985349407713
"September";"CTC";"GSA14";8.59308167593585
"September";"CTC";"GSA15";9.08700944892074
"September";"CTC";"GSA16";8.09350304490364
"September";"DPS";"GSA12";4.57969930328967
"September";"DPS";"GSA13";6.26286717961567
"September";"DPS";"GSA14";3.86833909135052
"September";"DPS";"GSA15";5.16840407071557
"September";"DPS";"GSA16";5.12750277858603
"September";"EDT";"GSA13";3.86761562668661
"September";"EDT";"GSA14";4.06
"September";"EDT";"GSA15";4.20676557035667
"September";"EDT";"GSA16";3.95876481335692
"September";"EOI";"GSA13";3.303
"September";"EOI";"GSA16";4.54355385152539
